Hour,Month,Day,Hour of Day,Generation (kWh)
379,1,16,18,0.000
380,1,16,19,0.000
381,1,16,20,0.000
382,1,16,21,0.000
383,1,16,22,0.000
384,1,16,23,0.000
385,1,17,0,0.000
386,1,17,1,0.000
387,1,17,2,0.000
388,1,17,3,0.000
389,1,17,4,0.000
390,1,17,5,0.000
391,1,17,6,0.000
392,1,17,7,0.000
393,1,17,8,0.000
394,1,17,9,13.230
395,1,17,10,25.085
396,1,17,11,31.703
397,1,17,12,33.168
398,1,17,13,18.391
399,1,17,14,19.345
400,1,17,15,13.000
401,1,17,16,0.000
402,1,17,17,0.000
403,1,17,18,0.000
404,1,17,19,0.000
405,1,17,20,0.000
406,1,17,21,0.000
407,1,17,22,0.000
408,1,17,23,0.000
409,1,18,0,0.000
410,1,18,1,0.000
411,1,18,2,0.000
412,1,18,3,0.000
413,1,18,4,0.000
414,1,18,5,0.000
415,1,18,6,0.000
416,1,18,7,0.000
417,1,18,8,0.000
418,1,18,9,3.306
419,1,18,10,13.980
420,1,18,11,8.082
421,1,18,12,9.265
422,1,18,13,10.126
423,1,18,14,6.162
424,1,18,15,1.657
425,1,18,16,0.000
426,1,18,17,0.000
427,1,18,18,0.000
428,1,18,19,0.000
429,1,18,20,0.000
430,1,18,21,0.000
431,1,18,22,0.000
432,1,18,23,0.000
433,1,19,0,0.000
434,1,19,1,0.000
435,1,19,2,0.000
436,1,19,3,0.000
437,1,19,4,0.000
438,1,19,5,0.000
439,1,19,6,0.000
440,1,19,7,0.000
441,1,19,8,0.000
442,1,19,9,5.398
443,1,19,10,15.338
444,1,19,11,17.303
445,1,19,12,12.998
446,1,19,13,6.273
447,1,19,14,6.934
448,1,19,15,5.096
449,1,19,16,0.000
450,1,19,17,0.000
451,1,19,18,0.000
452,1,19,19,0.000
453,1,19,20,0.000
454,1,19,21,0.000
455,1,19,22,0.000
456,1,19,23,0.000
457,1,20,0,0.000
458,1,20,1,0.000
459,1,20,2,0.000
460,1,20,3,0.000
461,1,20,4,0.000
462,1,20,5,0.000
463,1,20,6,0.000
464,1,20,7,0.000
465,1,20,8,0.000
466,1,20,9,11.910
467,1,20,10,20.845
468,1,20,11,30.173
469,1,20,12,39.942
470,1,20,13,41.510
471,1,20,14,34.561
472,1,20,15,21.155
473,1,20,16,0.000
474,1,20,17,0.000
475,1,20,18,0.000
476,1,20,19,0.000
477,1,20,20,0.000
478,1,20,21,0.000
479,1,20,22,0.000
